sample,name,bay,site,depth,nitrate,sulfate,ammonium,phosphate,OM
P29892_1035_S35,L0-1,control,L,0-1cm,2.33,312,8,38.4,59.12518854
P29892_1037_S37,L1-2,control,L,1-2cm,3.56,312,12.9,65.6,39.07942238
P29892_1039_S39,L5-6,control,L,5-6cm,4.47,378,32,66.5,42.12598425
P29892_1041_S41,L8-10,control,L,8-10cm,3.46,349,18.9,88.5,35.61320755
P29892_1043_S43,L15-17,control,L,15-17cm,2.44,289,12.8,69.5,31.57453936
P29892_1071_S71,J0-1,control,J,0-1cm,0.622,361,0.274,-2.03,40.6504065
P29892_1073_S73,J1-2,control,J,1-2cm,1.72,301,0.784,-3.06,50.75376884
P29892_1075_S75,J5-6,control,J,5-6cm,0.634,252,1.01,7.5,41.33611691
P29892_1077_S77,J8-10,control,J,8-10cm,0.963,235,1.1,10.5,36.55913978
P29892_1079_S79,J15-17,control,J,15-17cm,1.01,314,3.48,6.17,33.62530414
